file,ra,dec,class,z,v_cz_kms,v_rel_kms,dL_Mpc,F_Ha,eF_Ha,F_Hb,eF_Hb,F_OIII5007,eF_OIII5007,L_Ha,L_Hb,L_OIII5007
spectrum_10.fits,,,UNKNOWN,,,,,,,,,,,,,
spectrum_100.fits,,,UNKNOWN,,,,,,,,,,,,,
spectrum_11.fits,,,UNKNOWN,,,,,,,,,,,,,
spectrum_12.fits,,,UNKNOWN,,,,,,,,,,,,,
spectrum_13.fits,,,UNKNOWN,,,,,,,,,,,,,
spectrum_14.fits,,,UNKNOWN,,,,,,,,,,,,,
spectrum_15.fits,,,UNKNOWN,,,,,,,,,,,,,
spectrum_16.fits,,,UNKNOWN,,,,,,,,,,,,,
spectrum_17.fits,,,UNKNOWN,,,,,,,,,,,,,
spectrum_18.fits,,,UNKNOWN,,,,,,,,,,,,,
spectrum_19.fits,,,UNKNOWN,,,,,,,,,,,,,
spectrum_2.fits,,,UNKNOWN,,,,,,,,,,,,,
spectrum_20.fits,,,UNKNOWN,,,,,,,,,,,,,
spectrum_21.fits,,,UNKNOWN,,,,,,,,,,,,,
spectrum_22.fits,,,UNKNOWN,,,,,,,,,,,,,
spectrum_23.fits,,,UNKNOWN,,,,,,,,,,,,,
spectrum_24.fits,,,UNKNOWN,,,,,,,,,,,,,
spectrum_25.fits,,,UNKNOWN,,,,,,,,,,,,,
spectrum_26.fits,,,UNKNOWN,,,,,,,,,,,,,
spectrum_27.fits,,,UNKNOWN,,,,,,,,,,,,,
spectrum_28.fits,,,UNKNOWN,,,,,,,,,,,,,
spectrum_29.fits,,,UNKNOWN,,,,,,,,,,,,,
spectrum_3.fits,,,UNKNOWN,,,,,,,,,,,,,
spectrum_30.fits,,,UNKNOWN,,,,,,,,,,,,,
spectrum_31.fits,,,UNKNOWN,,,,,,,,,,,,,
spectrum_32.fits,,,UNKNOWN,,,,,,,,,,,,,
spectrum_33.fits,,,UNKNOWN,,,,,,,,,,,,,
spectrum_34.fits,,,UNKNOWN,,,,,,,,,,,,,
spectrum_35.fits,,,UNKNOWN,,,,,,,,,,,,,
spectrum_36.fits,,,UNKNOWN,,,,,,,,,,,,,
spectrum_37.fits,,,UNKNOWN,,,,,,,,,,,,,
