file,z,v_cz_kms,v_rel_kms,D_L_Mpc,D_L_cm,F_Halpha(1e-17),F_Hbeta(1e-17),F_OIII(1e-17),L_Halpha(erg/s),L_Hbeta(erg/s),L_OIII(erg/s)
spectrum_10.fits,0.010011519,3001.3778893237018,2986.3544588812347,44.69892399696122,1.3792646769420973e+26,543.71375,499.6895,590.87134,1.2997966345019177e+39,1.1945527042417927e+39,1.4125310959225114e+39
spectrum_100.fits,0.010245152,3071.419300663616,3055.6865391746887,45.75010721203006,1.4117008017498767e+26,22176.482,9378.167,8655.248,5.553769345821141e+40,2.3486221306242987e+40,2.1675778431799838e+40
spectrum_11.fits,0.010012746,3001.745734669668,2986.7186216753926,44.704443670983025,1.3794349962859595e+26,276.3851,252.53809,296.32162,6.6088663624910035e+38,6.038641331420274e+38,7.085584522815598e+38
spectrum_12.fits,0.010012832,3001.7715168210557,2986.744145701102,44.70483054338021,1.3794469339207885e+26,11465.639,8312.998,8623.799,2.7416885870212397e+40,1.987822199925394e+40,2.0621416124356597e+40
spectrum_13.fits,0.010014678,3002.324933698524,2987.2920213464054,44.71313481635254,1.3797031770102015e+26,409.0226,342.87045,402.97266,9.784271555404744e+38,8.201839192073555e+38,9.639550320309409e+38
spectrum_14.fits,0.010016446,3002.854966764268,2987.8167463589757,44.721088226017244,1.3799485935891894e+26,956.7093,584.31964,1002.04706,2.2893683583051677e+39,1.3982543024848477e+39,2.3978598647433656e+39
spectrum_15.fits,0.010017677,3003.2240112800655,2988.182094499483,44.72662593485492,1.380119469429322e+26,208.87189,198.50948,224.1985,4.9994614690752335e+38,4.751431590465144e+38,5.3663121551419084e+38
spectrum_16.fits,0.010018366,3003.430568283628,2988.386582415597,44.72972543677208,1.3802151100651174e+26,522.5229,463.58276,526.87555,1.2508601233759216e+39,1.1097641622377704e+39,1.2612798701774726e+39
spectrum_17.fits,0.010020492,3004.067927049336,2989.017555843518,44.739289377162,1.3805102224296365e+26,226.06729,209.7967,247.19968,5.414107141869433e+38,5.024441226373965e+38,5.92020877038796e+38
spectrum_18.fits,0.010022112,3004.553590831296,2989.49835312473,44.74657706614361,1.3807350970147508e+26,319.02704,215.94405,594.8293,7.642898413691881e+38,5.173349685942609e+38,1.425026516055646e+39
spectrum_19.fits,0.010022211,3004.583270284638,2989.527735155297,44.74702242548642,1.3807488393681491e+26,1893.7905,858.1995,769.1077,4.537024989479337e+39,2.0560207570260135e+39,1.8425801874605333e+39
spectrum_2.fits,0.010000313,2998.018415039354,2983.0285958907352,44.64851414140253,1.3777091913302606e+26,514.6424,310.46088,609.55396,1.2275255469365119e+39,7.405115892596312e+38,1.453908691037343e+39
spectrum_20.fits,0.010024401,3005.239815767658,2990.177700534942,44.75687433082002,1.3810528374023775e+26,517.56635,343.4651,412.78104,1.2404991914561496e+39,8.232146059020364e+38,9.893505371213341e+38
spectrum_21.fits,0.010025358,3005.5267171499636,2990.461726050936,44.7611794886109,1.3811856806911787e+26,474.07184,384.9956,504.45175,1.1364704746175008e+39,9.22932128298634e+38,1.2092988264059912e+39
spectrum_22.fits,0.010026084,3005.7443664744715,2990.6771935006095,44.764445474488106,1.3812864584852062e+26,100.090416,78.79569,78.530495,2.3997713642180833e+38,1.8892082583192094e+38,1.8828499335927564e+38
spectrum_23.fits,0.010027081,3006.043259555098,2990.973090002695,44.76893058758639,1.3814248546145846e+26,1083.9937,888.87177,988.23145,2.5995079701368652e+39,2.131589187782791e+39,2.3698620486585032e+39
